Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-07-17 07:49:27
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1721230889	559191942	26901	0	""	2024-07-17	09:41:29	15177.582	443.66336	1968.3832	40.8722	55.0001	29.2515	51.1578	0.00291454	10.8348	54.5005	20.25	0.28126	16.0953	 83
DATA	1721230890	559191942	26905	0	""	2024-07-17	09:41:30	15181.41	438.3212	1966.623	40.8714	55.0003	29.2506	51.1578	0.00292672	10.8379	54.5005	-28.5	0.28126	16.0956	165
DATA	1721230891	559191942	26909	0	""	2024-07-17	09:41:31	15184.859	443.14517	1966.5153	40.8714	55.0003	29.2506	51.1578	0.00290456	10.8344	54.5005	121	0.28126	16.0964	231
DATA	1721230892	558835029	26913	0	""	2024-07-17	09:41:32	15189.743	440.22552	1966.745	40.8706	55.0003	29.2543	51.1578	0.00290121	10.8354	54.5005	80.75	0.28126	16.096	224
DATA	1721230893	558835029	26917	0	""	2024-07-17	09:41:33	15193.689	438.50726	1966.2531	40.8714	55.0003	29.2552	51.1578	0.00298161	10.8359	54.5005	-59.5	0.28126	16.0956	 97
DATA	1721230894	558835029	26921	32	""	2024-07-17	09:41:34	15193.003	441.95282	1958.8618	40.871	55.0003	29.2539	51.1576	0.0520692	10.8379	54.5005	-134.25	0.28126	16.0949	136
DATA	1721230895	558835029	26925	0	""	2024-07-17	09:41:35	15203.012	443.74884	1966.786	40.8726	55.0003	29.2515	51.1578	0.00291784	10.8356	54.5005	103.25	0.28126	16.0945	 85
DATA	1721230896	558835029	26929	0	""	2024-07-17	09:41:36	15210.251	439.21545	1967.3073	40.8718	55.0003	29.2556	51.1576	0.002904	10.835	54.5005	30.5	0.28126	16.0937	122
DATA	1721230897	558835029	26933	32	""	2024-07-17	09:41:37	15023.19	437.78088	1946.5455	40.8739	55.0003	29.2576	51.1578	0.0471087	10.8346	54.5005	86.75	0.28126	16.0941	 68
DATA	1721230898	558835029	26937	0	""	2024-07-17	09:41:38	15209.282	440.68805	1966.368	40.8726	55.0003	29.2564	51.1576	0.00292494	10.8358	54.5005	-59.25	0.28126	16.0941	104
